ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
10878,Setty's Kitchen,Uttarahalli,"234, SK Complex, Near RNSIT College, Channasandra, Uttarahalli Main Road, Uttarahalli, Bangalore",10:30am – 9pm (Mon-Sun)
10879,Amjad Bhai's Star Hotel - Home Food Only,BTM,"Near Kerala Salafi Masjid, BTM Layout Stage 1, 9 C Main, BTM, Bangalore",8:30am – 10pm (Mon-Sun)
10880,Bhansaghar Multi-Cuisine Kitchen,Sarjapur Road,"G.R Homes, 2nd Cross Road, Meenakshi Layout, Sarjapur Road, Bangalore",12:30pm – 11pm (Mon-Sun)
10881,The Fresh Wok,BTM,"Shop 6, Second Floor, Gurupanapalya, Keb Employees Housing Board Society, BTM, Bangalore","11am – 3:30pm, 6pm – 11pm (Mon-Sun)"
10882,Lazy Bear,HSR,"24/1 & 25, Royal Placid Phase 2, Harlur, HSR, Bangalore",8am – 11pm (Mon-Sun)
10883,Papa Kulcha,Basavanagudi,"GF-5, Market Road, Sajjan Rao Circle, V V Puram, Basavanagudi, Bangalore",11am – 11pm (Mon-Sun)
10884,Juicy Hut,BTM,"7, 7th Main Road, 19th Cross, 2nd Stage, BTM, Bangalore",10am – 11pm (Mon-Sun)
10885,Bangalore Sundaes,JP Nagar,"10, 24th Main Road, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore","12:30pm – 1am (Mon-Thu),12noon – 1am (Fri-Sun)"
10886,Shake Tales,JP Nagar,"10, 24th Main Road, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",11am – 11pm (Mon-Sun)
10887,Apna Odisha Kolkatta Hotel,BTM,"172, 13th Cross, 16th Main Road, Near Tavarekere Bus Stop, BTM, Bangalore","10am – 3:30pm, 5:30pm – 11:30pm (Mon-Sun)"
10888,Nirvaan,HSR,"184/A, 22nd Cross, 3rd Sector, Club Road, HSR Layout, Bangalore","9:30am – 10:15pm (Mon-Sat),12noon – 10:15pm (Sun)"
10889,Konkan Delights,JP Nagar,"58, Sarakki Signal, Kanakpura Road, 6th Phase, JP Nagar, Bangalore","11am – 3:30pm, 6:30pm – 11pm (Mon-Sun)"
10890,Indianeestaa Foods Private Limited,JP Nagar,"Shop 4, 2nd Floor, 23rd A Main, Phase 2, JP Nagar, Bangalore",9:30am – 6am (Mon-Sun)
10891,Lassi House,HSR,"108/1, Harlur Main Road, Varthur Hobli, Opposite Narayana School, HSR, Bangalore",11am – 10pm (Mon-Sun)
10892,Tawa Roti Paratha,HSR,"778, 22nd Cross, 22nd Main HSR Club Road, HSR, Bangalore","11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)"
10893,Btm Spot,BTM,"22, 9th A Main, 4th Cross, 1st Stage, BTM, Bangalore",10am – 11:30pm (Mon-Sun)
10894,Hello Andhra,JP Nagar,"5, 1st Main, 1st Cross, Puttenahalli, 7th Phase, Kothanur Main Road, JP Nagar, Bangalore","12noon – 3pm, 7pm – 11pm (Mon-Sun)"
10895,Sardaar Ka Chulla,Electronic City,"Equinox Tech Park SJR Equinox, Velankani Drive, Electronic City, Bangalore",7pm – 4am (Mon-Sun)
10896,The Biryani Story,Electronic City,"1543, 7th Cross, 19th Main, Opposite BMTC Bus Depot, Agara Village, 1st Sector, HSR, Bangalore",7pm – 4am (Mon-Sun)
10897,Kaapi Kendra,Bannerghatta Road,"205, Opposite HSBC Billekahalli, Bannerghatta Road, Bangalore",7am – 10pm (Mon-Sun)
10898,All Hunger's Point,Bommanahalli,"Begur Road, Near Kudlu Gate Bus Stop, Opposite Dayanad Sagar University, Bommanahalli, Bangalore",7:30am – 9:30pm (Mon-Sun)
10899,Sixth Sense,Bommasandra,"4th Cross, R K Lakeview Layout, Bommasandra, Bommansadra, Bengaluru","12noon – 4pm, 6pm – 10:30pm (Mon-Sun)"
10900,Reddy's Biryani,JP Nagar,"5, 1st Main, 1st Cross, Kothanur Main Road, Puttenahalli, 7th Phase, JP Nagar, Bangalore",12noon – 11pm (Mon-Sun)
